"";"";"t"
"Monsieur";"M.";"t"
"Madame";"Mme";"t"
"Maître";"Me";"t"
"Docteur";"D.";"t"
"Professeur";"Prof.";"t"
"Artisant";"Artisant";"t"
"EURL";"EURL";"t"
"EIRL";"EIRL";"t"
"SARL";"SARL";"t"
"SELARL";"SELARL";"t"
"SA";"SA";"t"
"SAS";"SAS";"t"
"SCI";"SCI";"t"
"SASU";"SASU";"t"
"SNC";"SNC";"t"
"SCP";"SCP";"t"
"Administration";"Admin.";"t"
"Groupement d'intérêt commun";"GIC";"t"
"Directeur financier";"DAF";"t"
"Service comptable";"Srv. Compta";"t"
"service informatique";"Srv. Info";"t"
"service commercial";"Srv. Commercial";"t"
"autre";"Autre";"t"
"service marketing";"Srv. Mark";"t"
"service achats";"Srv. Achat";"t"
"DSI";"DSI";"t"
