code_maison;cct;third_party_num;sage_vat_by_default;center_purchase;sign_board;integrable;chargeable;credit_account;debit_account;opening_date;immeuble;adresse;code_postal;ville;email;PAYSX3;Intitulé Compta;IntituleCourt;Type Affaire
;ACAH001;ACAH001;031;ACF;ACF;1;1;411800;418800;2010-02-18;;CHEMIN DE LA FALAISE 15;1196;GLAND;"magali.bouvarel@acuitis.com; arnaud.dubugnon@acuitis.com; comptabilite@acuitis.com";CH;ACUITIS HOLDING;HOLDING;Succursale
;ACAL001;ACAL001;010;ACF;ACF;1;1;411800;418800;2019-01-11;;34 38 AVE DE LA LIBERTE;L1930;LUXEMBOURG;"salima.chakouki@acuitis.com; laurent.branckaert@acuitis.com; comptabilite@acuitis.com";LU;ACUITIS Luxembourg;Acuitis LUX;Succursale
;ACAL002;ACAL002;010;ACF;ACF;1;1;411800;418800;2015-11-10;;20 RUE PHILIPPE II;2340;LUXEMBOURG;"salima.chakouki@acuitis.com; laurent.branckaert@acuitis.com; comptabilite@acuitis.com";LU;SERVICE PHOTO;SERVICE PHOTO;Succursale
;ACAL003;HANS001;010;ACF;ACF;1;1;411800;418800;2013-12-12;;13 RUE BEAUMONT;L-1219;LUXEMBOURG;"salima.chakouki@acuitis.com; comptabilite@acuitis.com";LU;OPTIK HANSEN;OPTIK HANSEN;Succursale
;ACAS001;ACAS001;031;ACF;ACF;1;1;411800;418800;2019-04-15;;5 RUE DE LA MORACHE;1260;NYON;"magali.bouvarel@acuitis.com; arnaud.dubugnon@acuitis.com; comptabilite@acuitis.com";CH;ACUITIS SUISSE SA;SUISSE SA;Succursale
;ACO001;ACOU001;031;ACF;ACF;1;1;411800;418800;2020-01-01;;RUE DE NEUCHÂTEL 40A;1400;YVERDON-LES-BAINS;"magali.bouvarel@acuitis.com; arnaud.dubugnon@acuitis.com; comptabilite@acuitis.com";CH;ACOUSTICENTRE YVERDON;YVERDON;Succursale
;ACO002;ACOU001;031;ACF;ACF;1;1;411800;418800;2020-01-01;;GRAND-RUE 15;1350;ORBE;"magali.bouvarel@acuitis.com; arnaud.dubugnon@acuitis.com; comptabilite@acuitis.com";CH;ACOUSTICENTRE ORBE;ORBE;Succursale
;ACO003;ACOU001;031;ACF;ACF;1;1;411800;418800;2020-01-01;;BOULEVARD DE PÉROLLES 13;1700;FRIBOURG;"magali.bouvarel@acuitis.com; arnaud.dubugnon@acuitis.com; comptabilite@acuitis.com";CH;ACOUSTICENTRE FRIBOURG;FRIBOURG;Succursale
;ACO004;ACOU001;031;ACF;ACF;1;1;411800;418800;2020-01-01;;PLACE DU MARCHÉ 8A;2300;LA CHAUX-DE-FONDS;"magali.bouvarel@acuitis.com; arnaud.dubugnon@acuitis.com; comptabilite@acuitis.com";CH;ACOUSTICENTRE LA CHAUX DE FONDS;CHAUX;Succursale
;ACO005;ACOU001;031;ACF;ACF;1;1;411800;418800;2020-01-01;;AVENUE DE LA GARE 11;1920;MARTIGNY;"magali.bouvarel@acuitis.com; arnaud.dubugnon@acuitis.com; comptabilite@acuitis.com";CH;ACOUSTICENTRE MARTIGNY;MARTIGNY;Succursale
