nom_fournisseur;siret_fournisseur;num_facture;date_facture;num_maison;code_produit;designation;prix_unitaire_ht;tva;quantite;total_ht;total_ttc
Cosium;44764885800028;F221200008;2022-12-02;527;90PT02G2-M02150;Asus  - Vivo AiO V222FAK - Tout-en-un - Core i5 10210U / 1.6 GHz - RAM 8 Go - SSD 256 Go NVMe - GigE - WiFi 802.11ac, Bluetooth 5.0 - Win 10 Pro - moniteur : LED 21.5'' 1920 x 1080 (Full HD) MBPTCJ00E44646E ;819;20;1;819;982.80
Cosium;44764885800028;F221200062;2022-12-31;516;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SR2MV62LGW6 ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200062;2022-12-31;516;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200062;2022-12-31;516;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200063;2022-12-31;539;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SDJP6CY2K9F ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200063;2022-12-31;539;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200063;2022-12-31;539;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200064;2022-12-31;590;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SNHX7LTLXTQ ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200064;2022-12-31;590;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200064;2022-12-31;559;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200065;2022-12-31;592;LocDepa3G_J;-  - Location du Service Depannage Internet avec Router 3G / 1 jour  ;9;20;16;144;172.80
Cosium;44764885800028;F221200066;2022-12-31;;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SQMXDKX4T7D ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200066;2022-12-31;;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200066;2022-12-31;;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200069;2022-12-31;527;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SN66L142H2C ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200069;2022-12-31;527;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200069;2022-12-31;527;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200071;2022-12-31;550;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SC3FW17JQHN ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200071;2022-12-31;550;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200071;2022-12-31;550;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200072;2022-12-31;582;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SVFP7WQ5QFQ ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200072;2022-12-31;582;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200072;2022-12-31;582;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200073;2022-12-31;528;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SQ4PD4MQXTH ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200073;2022-12-31;528;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200073;2022-12-31;528;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200075;2022-12-31;554;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SR9M7C76TG4 ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200075;2022-12-31;554;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200075;2022-12-31;554;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200076;2022-12-31;;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SFDKFG3X010 ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200076;2022-12-31;;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200076;2022-12-31;;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200077;2022-12-31;;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SFGFK67N1XT ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200077;2022-12-31;;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200077;2022-12-31;;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200082;2022-12-31;546;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SVVPVQXPJFM ;1156;20;1;1156;1387.20
Cosium;44764885800028;F221200082;2022-12-31;546;Prest_PrepParm;-  - Prestation de service : Preparation et Configuration Materiel Informatique / PC;120;20;1;120;144.00
Cosium;44764885800028;F221200082;2022-12-31;546;PortTNT01K;-  - Frais de Port et Emballage ASS2  ;38;20;1;38;45.60
Cosium;44764885800028;F221200083;2022-12-31;;MHNG3NF/A;Apple  - Apple 12.9-inch iPad Pro Wi-Fi - 5ème génération - 128 Go - 12.9 SH57LWP737Y ;1156;20;1;1156;1387.20
