"fournisseur";"siret_fournisseur";"siret_payeur";"code_fournisseur";"code_maison";"maison";"num_commande";"date_commande";"num_bl";"date_bl";"num_facture";"date_facture";"date_echeance";"nature_facture";"devise";"reference_article";"code_ean";"libelle";"famille";"qte";"px_unitaire_brut";"px_unitaire_net";"montant_brut";"montant_remise";"montant_net";"taux_tva";"montant_tva";"montant_ttc";"nom_client";"num_serie";"Commentaire"
"CVE";"33797056000047";"51778087000096";"K5111";"503";"ACUITIS LYON PART DIEU";"";"";"BL56856";"20230123";"FK44789";"20230131";"";"FA";"EUR";"AvtT";"";"Avanti torique SiH - boite de 3 lentilles - OG";"LCT";"1";"46.00";"46.00";"46.00";"0.00";"46.00";"2000";"9.20";"55.20";"";"";""
"CVE";"33797056000047";"51778087000096";"K5111";"503";"ACUITIS LYON PART DIEU";"";"";"BL56856";"20230123";"FK44789";"20230131";"";"FA";"EUR";"AvtT";"";"Avanti torique SiH - boite de 3 lentilles - OG";"LCT";"1";"46.00";"46.00";"46.00";"0.00";"46.00";"2000";"9.20";"55.20";"";"";""
"CVE";"33797056000047";"51778087000096";"K5111";"503";"ACUITIS LYON PART DIEU";"";"";"BL56856";"20230123";"FK44789";"20230131";"";"FA";"EUR";"PORT";"";"Port";"PORT";"1";"4.60";"4.60";"4.60";"0.00";"4.60";"2000";"0.92";"5.52";"";"";""
"CVE";"33797056000047";"51778087000096";"K5111";"503";"ACUITIS LYON PART DIEU";"";"";"BL56969";"20230127";"FK44789";"20230131";"";"FA";"EUR";"Omniflex";"";"Omniflex torique - 1 lentille - OG";"LCT";"1";"153.90";"153.90";"153.90";"0.00";"153.90";"2000";"30.78";"184.68";"";"";""
"CVE";"33797056000047";"51778087000096";"K5111";"503";"ACUITIS LYON PART DIEU";"";"";"BL56969";"20230127";"FK44789";"20230131";"";"FA";"EUR";"PORT";"";"Port";"PORT";"1";"4.60";"4.60";"4.60";"0.00";"4.60";"2000";"0.92";"5.52";"";"";""
"CVE";"33797056000047";"51778087000096";"K5447";"512";"ACUITIS STRASBOURG LES HALLES";"";"";"BL56796";"20230118";"FK44790";"20230131";"";"FA";"EUR";"Q3SPE";"";"Queen's trilogy Spherique Pearl Gray - boite de 2 lentilles - OD";"LCR";"1";"19.50";"19.50";"19.50";"0.00";"19.50";"2000";"3.90";"23.40";"";"";""
"CVE";"33797056000047";"51778087000096";"K5447";"512";"ACUITIS STRASBOURG LES HALLES";"";"";"BL56796";"20230118";"FK44790";"20230131";"";"FA";"EUR";"PORT";"";"Port";"PORT";"1";"4.60";"4.60";"4.60";"0.00";"4.60";"2000";"0.92";"5.52";"";"";""
"CVE";"33797056000047";"51778087000096";"K5560";"105";"ACUITIS NICE ETOILE";"";"";"BL56729";"20230117";"FK44791";"20230131";"";"FA";"EUR";"Q1TSP";"";"Queen's solitaire Torique Spice - 1 lentille - OD";"LCR";"1";"26.50";"26.50";"26.50";"0.00";"26.50";"2000";"5.30";"31.80";"";"";""
"CVE";"33797056000047";"51778087000096";"K5560";"105";"ACUITIS NICE ETOILE";"";"";"BL56729";"20230117";"FK44791";"20230131";"";"FA";"EUR";"Q1TSP";"";"Queen's solitaire Torique Spice - 1 lentille - OG";"LCR";"1";"26.50";"26.50";"26.50";"0.00";"26.50";"2000";"5.30";"31.80";"";"";""
"CVE";"33797056000047";"51778087000096";"K5560";"105";"ACUITIS NICE ETOILE";"";"";"BL56729";"20230117";"FK44791";"20230131";"";"FA";"EUR";"PORT";"";"Port";"PORT";"1";"7.40";"7.40";"7.40";"0.00";"7.40";"2000";"1.48";"8.88";"";"";""
