fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"ARI008";"GRAN";"C808000002";"20221129";"17639";"20221201";"f_12807";"20221201";"20230131";"FA";"EUR";"3661871126144";"3661871126144";"SPRAY GAZ SECHAGE 150ML (GA) - Pack de 12";"Séchage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"ARI008";;"C808000002";"20221129";"17639";"20221201";"f_12807";"20221201";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;11.00;;;11.00;2000;2.20;13.20;;;;
"MG Developpement";"441407061";"517780870";;"GA204";"GRAN";"C204000433";"20221129";"17640";"20221201";"f_12808";"20221201";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"GA204";"GRAN";"C204000433";"20221129";"17640";"20221201";"f_12808";"20221201";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GA204";;"C204000433";"20221129";"17640";"20221201";"f_12808";"20221201";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"104";"ACUI";"conso_1898";"20221129";"17641";"20221201";"f_12809";"20221201";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"104";"ACUI";"conso_1898";"20221129";"17641";"20221201";"f_12809";"20221201";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"104";"ACUI";"conso_1898";"20221129";"17641";"20221201";"f_12809";"20221201";"20230131";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"104";;"conso_1898";"20221129";"17641";"20221201";"f_12809";"20221201";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"542";"ACUI";"C542001033";"20221128";"17642";"20221201";"f_12810";"20221201";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";6.00;;42.00;;;252.00;2000;50.40;302.40;;;;
"MG Developpement";"441407061";"517780870";;"542";;"C542001033";"20221128";"17642";"20221201";"f_12810";"20221201";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;18.00;;;18.00;2000;3.60;21.60;;;;
"MG Developpement";"441407061";"517780870";;"DO564";"DIRE";"30112022_7";"20221130";"17643";"20221201";"f_12811";"20221201";"20230131";"FA";"EUR";"3661871126748";"3661871126748";"LINGETTE NETTOYANTE AUDIO (DO) - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"DO564";;"30112022_7";"20221130";"17643";"20221201";"f_12811";"20221201";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;11.00;;;11.00;2000;2.20;13.20;;;;
"MG Developpement";"441407061";"517780870";;"DO070";"DIRE";"30112022_7";"20221130";"17644";"20221201";"f_12812";"20221201";"20230131";"FA";"EUR";"3661871126748";"3661871126748";"LINGETTE NETTOYANTE AUDIO (DO) - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"DO070";"DIRE";"30112022_7";"20221130";"17644";"20221201";"f_12812";"20221201";"20230131";"FA";"EUR";"3661871126694";"3661871126694";"MINI BROSS NET GAZ 50ML (DO) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"DO070";;"30112022_7";"20221130";"17644";"20221201";"f_12812";"20221201";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"GA104";"GRAN";"C104000018";"20221125";"17680";"20221202";"f_12813";"20221202";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"GA104";"GRAN";"C104000018";"20221125";"17680";"20221202";"f_12813";"20221202";"20230131";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"GA104";"GRAN";"C104000018";"20221125";"17680";"20221202";"f_12813";"20221202";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
