Code Adhérent;Code du destinataire;Description destinataire;Nature;Numéro de document;Date d'enregistrement;Référence du document de base;Numéro d'article;Description article/service;Quantité;Remise (%) par ligne;Définition de la TVA;prix Brut;prix Net;prix TTC;N° Série
INNO013;AUDICEO;53 FAUBOURG BONNEFOY  31500 TOULOUSE FRANCE;FA;22120326;08.12.2022;22120440;GAZ210;GAZ'NET 210ml;24;18;C4;104,4;85,608;102,72;
INNO013;AUDICEO;53 FAUBOURG BONNEFOY  31500 TOULOUSE FRANCE;FA;22120326;08.12.2022;22120440;PO172;PORT -  CIBLEX (6 KG);1;0;C4;29;29;34,8;
INNO013;AUDICEO;53 FAUBOURG BONNEFOY  31500 TOULOUSE FRANCE;FA;22120326;08.12.2022;22120440;PO511;FRAIS D'EMBALLAGE;1;0;C4;2,7;2,7;3,24;
INNO013;AUDICEO;53 FAUBOURG BONNEFOY  31500 TOULOUSE FRANCE;FA;22120326;08.12.2022;22120440;MINIBROS;MINI BROSS'NET 75 ml NEWSON;24;18;C4;91,2;74,784;89,736;
INNO013;AUDICEO;53 FAUBOURG BONNEFOY  31500 TOULOUSE FRANCE;FA;22120326;08.12.2022;22120440;SC2022;Surcharge Conjoncturelle +3%;1;0;C4;5,76;5,763;6,916;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;DEEE;ECO PARTICIPATION;1;0;C4;0,08;0,08;0,096;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;DEEE;ECO PARTICIPATION;2;0;C4;0,18;0,18;0,216;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;DISPLA;"PRESENTOIR PLUGGERZ ""ACUITIS""";1;100;C4;30;0;0;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG1;PLUG PRO - BRICOLAGE;3;20;C4;27,3;21,84;26,208;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG11;PLUG SHOOT - CHASSE ET TIR;3;20;C4;21,15;16,92;20,304;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG2;PLUG MUSIC - MUSIQUE;3;20;C4;21,15;16,92;20,304;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG3;PLUG ROAD - ROUTE - MOTO;3;20;C4;21,15;16,92;20,304;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG7;PLUG WATER - PISCINE;3;20;C4;21,15;16,92;20,304;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG8;PLUG TRAVEL - VOYAGE;3;20;C4;21,15;16,92;20,304;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;SET860;ECOUTE TV SET860  H.F;2;20;C4;398;318,4;382,08;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG4;PLUG SLEEP - SOMMEIL;3;20;C4;21,15;16,92;20,304;
