Code Adhérent;Code du destinataire;Description destinataire;Nature;Numéro de document;Date d'enregistrement;Référence du document de base;Numéro d'article;Description article/service;Quantité;Remise (%) par ligne;Définition de la TVA;prix Brut;prix Net;prix TTC;N° Série
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;DEEE;ECO PARTICIPATION;2;0;C4;0,18;0,18;0,216;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;PO11;PORT T.N.T. (3 KG);1;0;C4;18,5;18,5;22,2;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;PO5;FRAIS D'EMBALLAGE;1;0;C4;2,6;2,6;3,12;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;SC2022;Surcharge Conjoncturelle +3%;1;0;C4;9,49;9,493;11,392;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;DISCOT;DISQUE COTON;1;18;C4;4,25;3,485;4,182;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;FRAIGO;FRAISE GOMME GRISE;1;18;C4;5,3;4,346;5,215;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;FRAIPOC;BOULE COTON;1;18;C4;3,2;2,624;3,149;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;RS2000;CASQUE RS2000;2;18;C4;268;219,76;263,712;
531;ACUITIS REIMS;4 RUE THEODORE DUBOIS  51100 REIMS FRANCE;FA;22110633;18.11.2022;22110927;AUDIS;AUDISPRAY ADULT;12;18;C4;79,2;64,944;77,928;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;DIST;DISTRIBOX 40;12;18;C4;45;36,9;44,28;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;PO172;PORT -  CIBLEX (6 KG);1;0;C4;29;29;34,8;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;PO5;FRAIS D'EMBALLAGE;1;0;C4;2,6;2,6;3,12;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;SC2022;Surcharge Conjoncturelle +3%;1;0;C4;9,61;9,612;11,534;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;BROS;BROSS'NET NEWSON 110ml;24;18;C4;104,4;85,608;102,72;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;GINKGO;TUBE - GINKGO CARE;10;18;C4;40,5;33,21;39,85;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;MINIBROS;MINI BROSS'NET 75 ml NEWSON;24;18;C4;91,2;74,784;89,736;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;POI;POIRE;10;18;C4;33;27,06;32,47;
INNO002;ESPACE ACOUSTIQUE;29 ALLEE DU ROUERGUE  31770 COLOMIERS FRANCE;FA;22110651;18.11.2022;22110944;POWER312;ACCU 312 x2;1;18;C3;38,1;31,242;32,96;
522;ACUITIS METZ;33 BIS RUE DE LA TETE D'OR  57000 METZ FRANCE;FA;22110657;18.11.2022;22110955;0541NAC;"GOBELET SECHAGE BLANC ""ACUITIS""";20;0;C4;29;29;34,8;
522;ACUITIS METZ;33 BIS RUE DE LA TETE D'OR  57000 METZ FRANCE;FA;22110657;18.11.2022;22110955;HYDRA4ACUI;"HYDRASON 10 x4 ""ACUITIS""";24;0;C4;51,6;51,6;61,92;
522;ACUITIS METZ;33 BIS RUE DE LA TETE D'OR  57000 METZ FRANCE;FA;22110657;18.11.2022;22110955;PO172;PORT -  CIBLEX (8 KG);1;0;C4;29;29;34,8;
