Code Adhérent;Code du destinataire;Description destinataire;Nature;Numéro de document;Date d'enregistrement;Référence du document de base;Numéro d'article;Description article/service;Quantité;Remise (%) par ligne;Définition de la TVA;prix Brut;prix Net;prix TTC;N° Série
AF0014;ACUITIS WESTLAND;WESTLAND SHOPPING CENTER BOULEVARD SYLVAIN DUPUIS, 347 B-1070 ANDERLECHT BELGIUM;FA;21120079;02.12.2021;21120096;EFFPACU;"EFFER'NET x20 ""ACUITIS""";72;0;C4;162;162;194,4;
AF0014;ACUITIS WESTLAND;WESTLAND SHOPPING CENTER BOULEVARD SYLVAIN DUPUIS, 347 B-1070 ANDERLECHT BELGIUM;FA;21120079;02.12.2021;21120096;PO12;PORT T.N.T. (6 KG) FRANCO;1;0;C4;0;0;0;
AF0014;ACUITIS WESTLAND;WESTLAND SHOPPING CENTER BOULEVARD SYLVAIN DUPUIS, 347 B-1070 ANDERLECHT BELGIUM;FA;21120079;02.12.2021;21120096;PO5;FRAIS D'EMBALLAGE;1;0;C4;2,7;2,7;3,24;
13;ACUITIS BETTEMBOURG;SHOPPING CENTER CACTUS 320 ZAE WOLSER A L-3225 BETTEMBOURG LUXEMBOURG;FA;21120146;03.12.2021;21120166;2956;OTOFORM A/SOFT X - S50 x8;5;18;C4;282;231,24;277,49;
13;ACUITIS BETTEMBOURG;SHOPPING CENTER CACTUS 320 ZAE WOLSER A L-3225 BETTEMBOURG LUXEMBOURG;FA;21120146;03.12.2021;21120166;DEEE;ECO PARTICIPATION;1;0;C4;0,08;0,08;0,1;
13;ACUITIS BETTEMBOURG;SHOPPING CENTER CACTUS 320 ZAE WOLSER A L-3225 BETTEMBOURG LUXEMBOURG;FA;21120146;03.12.2021;21120166;KHENT1;KIT HEINE CONVENTIONNEL;1;18;C4;375;307,5;369;
13;ACUITIS BETTEMBOURG;SHOPPING CENTER CACTUS 320 ZAE WOLSER A L-3225 BETTEMBOURG LUXEMBOURG;FA;21120146;03.12.2021;21120166;MINIBROSACU;"MINI BROSS'NET 75ml - ""ACUITIS""";120;0;C4;307,2;307,2;368,64;
13;ACUITIS BETTEMBOURG;SHOPPING CENTER CACTUS 320 ZAE WOLSER A L-3225 BETTEMBOURG LUXEMBOURG;FA;21120146;03.12.2021;21120166;PO14;PORT T.N.T. (14 KG);1;100;C4;37;0;0;COLIS N° 154225821- 60X40X25
13;ACUITIS BETTEMBOURG;SHOPPING CENTER CACTUS 320 ZAE WOLSER A L-3225 BETTEMBOURG LUXEMBOURG;FA;21120146;03.12.2021;21120166;PO51;FRAIS D'EMBALLAGE.;1;0;C4;2,8;2,8;3,36;
535;ACUITIS AJACCIO BALEONE;LIEU DIT PERNICAGGIO C.C. ATRIUM 20167 SARROLA-CARCOPINI CORSE;FA;21120329;08.12.2021;21120389;DEEE;ECO PARTICIPATION;1;0;C4;0,08;0,08;0,1;
535;ACUITIS AJACCIO BALEONE;LIEU DIT PERNICAGGIO C.C. ATRIUM 20167 SARROLA-CARCOPINI CORSE;FA;21120329;08.12.2021;21120389;E720;TELEPHONE E720;1;18;C4;79,9;65,52;78,62;
535;ACUITIS AJACCIO BALEONE;LIEU DIT PERNICAGGIO C.C. ATRIUM 20167 SARROLA-CARCOPINI CORSE;FA;21120329;08.12.2021;21120389;PO5;FRAIS D'EMBALLAGE;1;0;C4;2,7;2,7;3,24;
535;ACUITIS AJACCIO BALEONE;LIEU DIT PERNICAGGIO C.C. ATRIUM 20167 SARROLA-CARCOPINI CORSE;FA;21120329;08.12.2021;21120389;POCH1;CHRONOPOST CLIENT;1;0;C4;0;0;0;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;0541NAC;"GOBELET SECHAGE BLANC ""ACUITIS""";20;0;C4;27,2;27,2;32,64;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;2956;OTOFORM A/SOFT X - S50 x8;1;20;C4;56,4;45,12;54,14;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;3245;CANULE ROSE SMALL 5.4 mm;100;20;C4;64;51,2;61,4;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;4545;OTOFORM A/K S50  8 CART;1;20;C4;56,4;45,12;54,14;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;5675;LOT PROTEGE TYMPAN AERE 6 PIECES /DIAMETRE;1;20;C4;26;20,8;24,96;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;ANGEL;ANIOSGEL 300 ml;2;0;C4;12,8;12,8;15,36;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;ASEPT;PURELL 100;4;20;C4;29,8;23,84;28,61;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;ASPI2;ASPIMATIC II MEGA-POWER;1;20;C4;605;484;580,8;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;BA151;ACCU BA151;1;20;C4;31;24,8;29,76;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;BA300;ACCU BA300;1;20;C4;34;27,2;32,64;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;BLOTEST;BLOC TESTEUR;5;20;C4;70;56;67,2;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;BRU15;BRUCELLE COUPANTE;1;20;C4;41;32,8;39,36;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;BRUFI;BRUCELLE FINE;1;20;C4;22;17,6;21,12;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;CAPCAO.;CAPUCHON POLISSOIR x5;1;20;C4;15,75;12,6;15,12;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;CARTO;CARROUSEL 9 TOURNEVIS;1;20;C4;57;45,6;54,72;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;CASE;CASIER 20 TIROIRS;1;20;C4;35;28;33,6;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;CISDRO;CISEAUX INOX DROIT POINTU;1;20;C4;9,9;7,92;9,5;
582;ACUITIS PERPIGNAN;12 RUE SAINT ETIENNE TERRUS  66680 CANCHES FRANCE;FA;21120516;13.12.2021;21120619;CISRON;CISEAUX INOX ROND;1;20;C4;16,5;13,2;15,84;
